-------------------------------------------------------------------------------------------------------------------
جدول أسرار وفضائل ومقاصد سور القرآن الكريم كاملاً (114 سورة) - النسخة الموثقة   
-------------------------------------------------------------------------------------------------------------------

ملاحظة هامة جداً: تم مراجعة وتنقية هذا الجدول بالكامل بميزان علم الحديث الشريف.
تم الاعتماد حصرياً على الأحاديث الصحيحة والحسنة الثابتة في السُنّة المطهرة (كالبخاري ومسلم والترمذي والألباني).
بالنسبة للسور التي لم يصح فيها حديث مرفوع خاص بفضائلها، تم صياغة خلاصتها ومقاصدها بناءً على المعتمد 
في كتب التفسير الرصينة (كابن كثير والسعدي) لبيان أسرارها ومحورها التوحيدي دون إدراج أي مرويات واهية أو مكذوبة.

-------------------------------------------------------------------------------------------------------------------
رقم السورة   | اسم السورة           | سر السورة ومكانتها ومقاصدها (صحيحة وموثقة بنسبة 100%)
[068]        | القلم              | سورة الأخلاق والمدافعة عن الحق؛ تفتتح بالقسم بالقلم والكتابة تبرئة لساحة النبي صلى الله عليه وسلم والثناء الإلهي العظيم على خلقه الأكمل: وإنك لعلى خلق عظيم. وتضرب مثلاً بأصحاب الجنة للتحذير من البخل ومنع حقوق الفقراء.
[069]        | الحاقة             | سورة الجدية واليقين المطلق في وصف القيامة والحساب العادل والجزاء وأهوال الساعة؛ تصوّر لحظة استلام العباد لكتبهم: فإما فوز وسعادة وسرور ينادي معها: هاؤم اقرؤوا كتابيه، وإما حسرة وندامة وخسران يبكي صاحبه بالعدم والمقت.
[070]        | المعارج            | الأمر بالصبر الجميل في مواجهة الشدائد واستعجال المكذبين؛ تصف أحوال يوم طويل مقداره خمسون ألف سنة. ترسم صفات النفس البشرية وكيف يطهرها الإيمان والصلاة المتمثلة في الذين هم على صلاتهم دائمون والذين يحفظون حقوق السائل والمحروم.
[071]        | نوح                | عرض تجربة نوح عليه السلام ومدرسة الصبر الطويل والثبات على الدعوة إلى الله على مدى قرون. تبرز السورة الفوائد الروحية والدنيوية العظيمة لملازمة الاستغفار؛ فهو جالب المطر، والمدد بالأموال والبنين، وجعل الجنات والأنهار الجارية.
[072]        | الجن               | بيان التأثير السريع والبالغ للقرآن والاعتراف بعظمته من عوالم أخرى غيبية استمعت للوحي فآمنت به فوراً. تؤكد السورة أن الاستقامة على طاعة الله هي مفتاح الرغد والبركة والخير: وأن لو استقاموا على الطريقة لأسقيناهم ماء غدقاً.
[073]        | المزمل             | سورة قيام الليل والزاد الروحي الثقيل للدعاة والصلة الوثيقة بالسماء لإعداد النبي لأداء الرسالة: إنا سنلقي عليك قولاً ثقيلاً. تبين فضل مناجاة الليل وترتيل القرآن بمهل، وتأمر بالصبر الجميل والهجر الجميل لأذى الخلق والمكذبين.
[074]        | المدثر             | سورة القيام والدعوة والحركة وترك الدعة والكسل؛ نزلت تأمر بالقيام والإنذار وتطهير الثياب والقلوب والعمل للدين والتوحيد الخالص. وتحذر السورة من الإعراض عن التذكرة وأسباب دخول سقر متمثلة في ترك الصلاة ومنع حقوق المساكين واللغو.
[075]        | القيامة            | سورة إيقاظ الضمير واليقين بالبعث؛ تفتتح بالقسم بيوم القيامة وبالنفس اللوامة التي تعاتب صاحبها على التقصير. تصوّر السورة لحظات الفراق وسوق الروح إلى بارئها عند التراقي، وتبشر بالوجوه الناضرة المسرورة التي تنظر إلى ربها تبارك وتعالى.
[076]        | الإنسان            | سورة الشكر والنعيم؛ تذكر الإنسان بأصله وتوجهه ليكون إما شاكراً وإما كفوراً. تصف بدقة وجمال جزاء الأبرار ونعيمهم في الجنة جزاءً على صبرهم وإطعامهم الطعام على حبه للمساكين واليتامى والأسرى ابتغاء وجه الله وحده لا شريك له.
[077]        | المرسلات           | سورة الفصل وحتمية وقوع الوعد الإلهي بالحساب؛ تفتتح بأقسام كونية مهيبة تؤكد أن ما توعدون لواقع لا محالة. يتكرر فيها الإنذار والوعيد الشديد: ويل يومئذ للمكذبين، لتهز النفوس وتوقظها من رقدة الغفلة وتحث على الاستسلام لأمر الله.
[078]        | النبأ              | سورة النبأ العظيم واليقين بالآخرة والبعث؛ تستعرض الأدلة الكونية على كمال قدرة الخالق في مهد الأرض وجعل الجبال أوتاداً وخلق الأزواج. تبث الخشية من يوم الفصل الحاسم، وتبشر المتقين بالمفاز والفوز العظيم والجنان والنعيم.
[079]        | النازعات           | سورة الهيبة والانتزاع؛ تصف مشهد نزع أرواح العباد بشدة للمكذبين وبلطف ونشاط للمؤمنين الصالحين. ترسخ ميزان الفوز والخسارة الإنساني: فأما من طغى وآثر الحياة الدنيا فإن الجحيم هي المأوى، وأما من خاف مقام ربه ونهى النفس عن الهوى فإن الجنة هي المأوى.
[080]        | عبس                | سورة القيم والاهتمام بالقلوب المقبلة؛ تفتتح بعتاب الله اللطيف لنبيه من أجل ابن أم مكتوم الأعمى تبياناً لأن الميزان هو التقوى والإقبال وليس الجاه. تذكر السورة بأصل الخلق وغذاء الإنسان، وتصف مشهد فرار المرء من أخيه وأمه وأبيه يوم الحساب لشدة الموقف.
[081]        | التكوير            | سورة الانقلاب الكوني وتغير معالم العالم عند قيام الساعة وتكوير الشمس وانكدار النجوم وسير الجبال. تفيض بالمشاهد الحية التي تجعل العبد يرى القيامة رأي عين بقلبه ليقظة روحه، وتؤكد على صدق الوحي ونزول جبريل بالقرآن الكريم تذكرة للعالمين.
[082]        | الانفطار           | سورة الحياء من كرم الله ولطفه وإحسانه؛ تصف انفطار السماء وتناثر الكواكب وبعثرة القبور. يتجلى سرها في النداء الإلهي المؤثر الذي يستجيش حياء النفوس: يا أيها الإنسان ما غرك بربك الكريم، وتذكر برقابة الملائكة الكرام الكاتبين لكل عمل.
[083]        | المطففين           | سورة العدالة والأمانة وحفظ الحقوق في المعاملات المالية وتحذير المطففين من مغبة الظلم. تطمئن قلوب الأبرار بأن كتابهم في عليين وتبشرهم بالنعيم المقيم والنظر إلى وجه الله الكريم، وأن السخرية الدنيوية ستنقلب فوزاً مؤبداً يوم القيامة.
[084]        | الانشقاق           | سورة الخضوع الكوني والطاعة التامة لله تبارك وتعالى؛ تفتتح بانشقاق السماء وإذنها لربها وحقت. تذكر الإنسان بكدحه المستمر في الحياة وأنه ملاقٍ ربه لا محالة، فمن أوتي كتابه بيمينه فسوف يحاسب حساباً يسيراً وينقلب إلى أهله مسروراً ناعماً في الجنان.
